img_name,img_label,rating
pve7D6NUrafHW3EAORubyw,food,4.0
H52Er-uBg6rNrHcReWTD2w,food,4.5
wZ29mUm6nKz566j17OBadw,food,4.0
Le9rMdT8YFlvqr431LctIQ,food,4.5
9kVdBkGWcKfCFzSwUXjQyw,food,4.0
dxIzVOEowFFsg2RmgFJZdQ,food,4.0
50CbWRa6-tAKRPrq5mbABg,food,2.5
e0dD0np3hY3F8LoUtrNoPw,food,5.0
xiyqMEgTl4B4ux047E_zqw,food,4.0
K33aWlzEqKjuZFjdEuBOAA,food,3.5
zNzVcwnSJ4kvjFnANIsIRg,food,4.5
0hhqi5rESZrXw3rJTrJ1gw,food,4.0
XnStHMYUJEnb2t-6gCB6Hg,food,4.5
iham6y34EzijhaUrDfCyEQ,food,3.5
0fRkZkTokFM29iO0ny7MPw,food,3.0
RfYbpxLAahPIm2mToLRvqQ,food,4.0
JzLZ17Epk1N3dDNqn1_R4A,food,3.5
GBVORD8dr33TxT0qKwMOjQ,food,4.0
z9oNVEvNavXP5Yw3GRvYTg,food,5.0
KKvlBZUqxW3yELiFd3PVzQ,food,4.0
FYv4VGbG8j1qfBjGLcCnlQ,food,2.5
8ANJwpO7qz18BV8xPJSyiA,food,3.5
J0rm3mI98dISWsbmQaZWjw,food,3.5
0X3OPkfBWeIDGH24__1scA,food,3.0
fzOiwUnM3YPXA4bM4JNoaQ,food,4.5
fWq21Bfj89geWTcaCyFMHQ,food,3.5
xPLr2BA5xce4JYSe4aXnpw,food,3.0
GW06J2b-0OaCL9ror-4TUA,food,2.5
OA3p3QvTK_I7QFZ51iJoKA,food,4.5
PwGJ7jxy5-dGsshTAA3DAw,food,4.0
ZFnOsg5eUciav5ltpxbxPA,food,4.5
hBqczqOcPGf5uUCXXCr1CQ,food,2.0
UlDVIK92EHHwk94xK7JxBQ,food,4.5
GgskzfilusU5OPNqzMkbFQ,food,3.5
651bNRdUW2f5_zv_3sJ-VQ,food,4.0
S1yAWDWwGbXr5RcW7FgvXA,food,3.5
NMEE9D53FvWnr-rhpmAg9g,food,3.5
AUR-2hGF1r-KGeX3ZW-svg,food,3.5
YHHTbX9K0rhqojqkl5gvkg,food,4.0
EW5agZbu-hgJZJeq4meiLw,food,1.5
9Wkj-Vl5EYLS6OIy4EYigw,food,3.5
EeFlax7UCEI8Xrf3k27EQA,food,2.5
rCHcbJ2NcwvsHzH1CFzyEw,food,4.5
6KSLM-fapsQjVouRqOXPYA,food,3.0
hKx0grJ77BUGqYzQ02VlrA,food,4.0
a6dI4KTrWTnRZiglh62gKA,food,4.0
Zf4n7JKV6xAkuQOAokTDzg,food,3.5
tdqcGXATfpCeG7VXtsJhbQ,food,2.0
eA9mbEtb6K4i9PmWND_-QA,food,4.5
5seJSqnKEFLgHUx869n1ug,food,4.0
ySXzV7XO4wEzHOswr7mn7A,food,5.0
vDde56nmCntzYAMF7ZENVQ,food,5.0
IoCRWCYg27nrjz2XmHGqEA,food,2.0
If0N0bRhcOMXq1Qu2rEIAw,food,4.0
SZ3NDrbN8IyamXlSQkV35g,food,4.0
tjpK9aW9NiU8yLCUOwAdbQ,food,3.0
hHIhrGGv6eBW1CyfuXq6_Q,food,4.5
xgiEQav1cksFffep7z6iIA,food,4.5
4IiMykKoTykwt-5oc61Cyg,food,4.5
mcCF9PrtKKf0N38RiQrZQQ,food,4.5
IDUXh1Xi81N0H5-XrjLNBA,food,4.0
0QCXNIv4fdSWj2VJVvUW1A,food,5.0
v5ayAqMTrggvotQ73-KNYQ,food,3.5
9sv62mi7ITXOUOilf59WVg,food,4.5
RsFf9wlW47mF6PmPYDuWXg,food,3.5
iyUqboJlTfPacE2ks5bQkA,food,3.0
AhkWscQnBzcMvRl7VstFzA,food,4.0
xYqXYXyN1riS74foNC0t0Q,food,3.0
